utterance,intent,word_count,language,framework,error_type,language.1,framework.1,error_type.1,language.2,framework.2,error_type.2,language.3,framework.3,error_type.3,language,framework,error_type
fix the null pointer exception in login service,debug,8,,,null pointer,,,null pointer,,,null pointer,,,null pointer,,,null pointer
fix the null pointer,debug,4,,,null pointer,,,null pointer,,,null pointer,,,null pointer,,,null pointer
login service null pointer,debug,4,,,null pointer,,,null pointer,,,null pointer,,,null pointer,,,null pointer
null pointer exception,debug,3,,,null pointer,,,null pointer,,,null pointer,,,null pointer,,,null pointer
can you fix the null pointer in the login service,debug,10,,,null pointer,,,null pointer,,,null pointer,,,null pointer,,,null pointer
i need to fix the null pointer in my login service,debug,11,,,null pointer,,,null pointer,,,null pointer,,,null pointer,,,null pointer
fixing the null pointer in the login service with docker,debug,10,,,null pointer,,,null pointer,,,null pointer,,,null pointer,,,null pointer
the login service has a null pointer exception in java,debug,10,java,,null pointer,java,,null pointer,java,,null pointer,java,,null pointer,java,,null pointer
how do i fix the null pointer exception in the login service,debug,12,,,null pointer,,,null pointer,,,null pointer,,,null pointer,,,null pointer
um i have a null pointer exception in my login service using go,debug,13,go,,null pointer,go,,null pointer,go,,null pointer,go,,null pointer,go,,null pointer
i am getting a null pointer exception when i try to login to the service,debug,15,,,null pointer,,,null pointer,,,null pointer,,,null pointer,,,null pointer
the null pointer exception in the login service is caused by a postgres issue,debug,14,,,null pointer,,,null pointer,,,null pointer,,,null pointer,,,null pointer
every time i try to log in the service throws a null pointer and i have no clue why,debug,19,,,null pointer,,,null pointer,,,null pointer,,,null pointer,,,null pointer
okay so i am trying to debug this null pointer exception in the login service but it is not working with docker and java,debug,24,java,,null pointer,java,,null pointer,java,,null pointer,java,,null pointer,java,,null pointer
i dont know what is going on but like every time i try to login it throws a null pointer exception and i am using go and postgres and it is just really frustrating,debug,34,go,,null pointer,go,,null pointer,go,,null pointer,go,,null pointer,go,,null pointer
why is my authentication module throwing a 403 error,debug,9,,,403,,,403,,,403,,,403,,,403
fix auth error,debug,3,,,,,,,,,,,,,,,
express auth issue,debug,3,,express,,,express,,,express,,,express,,,express,
django login fails,debug,3,,django,,,django,,,django,,,django,,,django,
i am getting a 403 error in my express app,debug,10,,express,403,,express,403,,express,403,,express,403,,express,403
can you help me fix the authentication module in django,debug,10,,django,,,django,,,django,,,django,,,django,
i dont know why my kotlin app is throwing a 403,debug,11,kotlin,,403,kotlin,,403,kotlin,,403,kotlin,,403,kotlin,,403
uh my login service is not working with postgres,debug,9,,,,,,,,,,,,,,,
i need to debug the authentication in my express application,debug,10,,express,,,express,,,express,,,express,,,express,
every time i try to log in i get a 403 error in my django app,debug,16,,django,403,,django,403,,django,403,,django,403,,django,403
so i am trying to authenticate a user in my kotlin app but it keeps failing,debug,16,kotlin,,,kotlin,,,kotlin,,,kotlin,,,kotlin,,
um so every time i try to log in the service throws a 403 and i have no clue why,debug,20,,,403,,,403,,,403,,,403,,,403
i am trying to figure out why my auth module is not working with postgres in my express app,debug,19,,express,,,express,,,express,,,express,,,express,
ok so like i am trying to make this authentication thing work and its just not happening you know,debug,19,,,,,,,,,,,,,,,
i dont know whats going on but like my auth service is just not working and i have tried everything,debug,20,,,,,,,,,,,,,,,
debug the memory leak in the payment processor,debug,8,,,memory leak,,,memory leak,,,memory leak,,,memory leak,,,memory leak
fix memory leak,debug,3,,,memory leak,,,memory leak,,,memory leak,,,memory leak,,,memory leak
debug payment processor,debug,3,,,,,,,,,,,,,,,
kafka memory issue,debug,3,,,,,,,,,,,,,,,
i need to debug the memory leak in our payment processor,debug,11,,,memory leak,,,memory leak,,,memory leak,,,memory leak,,,memory leak
can you help me figure out this memory leak in the postgres database,debug,13,,,memory leak,,,memory leak,,,memory leak,,,memory leak,,,memory leak
i think there is a memory leak in the go payment processor,debug,12,go,,memory leak,go,,memory leak,go,,memory leak,go,,memory leak,go,,memory leak
so i am trying to debug this memory leak and its driving me crazy,debug,14,,,memory leak,,,memory leak,,,memory leak,,,memory leak,,,memory leak
debugging the memory leak in the payment processor is my top priority,debug,12,,,memory leak,,,memory leak,,,memory leak,,,memory leak,,,memory leak
i am getting a memory leak in the payment processor and i dont know why,debug,15,,,memory leak,,,memory leak,,,memory leak,,,memory leak,,,memory leak
the payment processor has a memory leak and its causing issues with kafka,debug,13,,,memory leak,,,memory leak,,,memory leak,,,memory leak,,,memory leak
i have been trying to debug the memory leak in the payment processor for hours,debug,15,,,memory leak,,,memory leak,,,memory leak,,,memory leak,,,memory leak
um so the payment processor is leaking memory and i dont know how to fix it,debug,16,,,,,,,,,,,,,,,
ok so i am looking at the payment processor and its got a memory leak somewhere,debug,16,,,memory leak,,,memory leak,,,memory leak,,,memory leak,,,memory leak
so the payment processor is leaking memory and its gonna crash the whole system if i dont debug it,debug,19,,,,,,,,,,,,,,,
the api is returning 500 on every post request,debug,9,,,500,,,500,,,500,,,500,,,500
api keeps returning 500,debug,4,,,500,,,500,,,500,,,500,,,500
post request always fails,debug,4,,,,,,,,,,,,,,,
debug this 500 error,debug,4,,,500,,,500,,,500,,,500,,,500
i cant figure out why my api is returning 500 on every post request,debug,14,,,500,,,500,,,500,,,500,,,500
getting 500 on every post request to the api,debug,9,,,500,,,500,,,500,,,500,,,500
every post request to the api is returning a 500 error,debug,11,,,500,,,500,,,500,,,500,,,500
having trouble with api post requests always returning 500,debug,9,,,500,,,500,,,500,,,500,,,500
stuck on this api post request 500 error thing,debug,9,,,500,,,500,,,500,,,500,,,500
i have an api that keeps returning 500 on all post requests and i dont know why,debug,17,,,500,,,500,,,500,,,500,,,500
trying to debug this api that always returns 500 on post requests and its really frustrating,debug,16,,,500,,,500,,,500,,,500,,,500
so the api is returning 500 on every single post request and i have no idea what to do,debug,19,,,500,,,500,,,500,,,500,,,500
um so i think i have an infinite loop in my typescript api or something,debug,15,typescript,,infinite loop,typescript,,infinite loop,typescript,,infinite loop,typescript,,infinite loop,typescript,,infinite loop
okay so like my python script is making a post request to this api and its always returning 404 which is weird,debug,22,python,,404,python,,404,python,,404,python,,404,python,,404
i dont know man i just started getting this 500 error on every post request and i was working on this other thing with python and then this happened,debug,29,python,,500,python,,500,python,,500,python,,500,python,,500
find the bug causing infinite loop in data pipeline,debug,9,,,infinite loop,,,infinite loop,,,infinite loop,,,infinite loop,,,infinite loop
fix infinite loop,debug,3,,,infinite loop,,,infinite loop,,,infinite loop,,,infinite loop,,,infinite loop
debug data pipeline,debug,3,,,,,,,,,,,,,,,
